Timestamp,Please select your gender,Do you like spicy food? (please choose one),Do you like pineapples on your pizza (please choose one)
1/24/2025 14:37:25,Male,No,Yes
1/27/2025 18:13:54,Male,Yes,Yes
1/27/2025 18:17:34,Female,Yes,Yes
1/27/2025 18:17:54,Male,Yes,No
1/31/2025 10:29:24,Male,Yes,No
1/31/2025 10:53:45,Male,Yes,Yes
1/31/2025 12:01:23,Male,Yes,No
1/31/2025 12:04:53,Male,Yes,No
1/31/2025 12:05:14,Male,No,No
1/31/2025 12:07:46,Male,No,Yes
1/31/2025 12:08:29,Male,No,Yes
1/31/2025 12:10:15,Male,Yes,Yes
1/31/2025 12:15:23,Male,Yes,No
1/31/2025 12:20:55,Male,Yes,Yes
1/31/2025 12:30:23,Female,No,No
1/31/2025 12:30:27,Female,Yes,Yes
1/31/2025 12:30:43,Female,Yes,Yes
1/31/2025 12:30:54,Female,Yes,Yes
1/31/2025 12:34:21,Female,Yes,Yes
1/31/2025 12:36:43,Male,No,No
1/31/2025 12:36:45,Male,Yes,Yes
1/31/2025 12:57:35,Male,Yes,No
1/31/2025 13:47:16,Male,Yes,No
1/31/2025 13:47:45,Male,Yes,No
1/31/2025 13:48:00,Male,Yes,Yes
1/31/2025 16:28:29,Male,No,No
1/31/2025 17:44:17,Male,Yes,No
2/1/2025 0:23:14,Female,Yes,Yes
2/2/2025 17:24:20,Male,No,Yes
2/3/2025 12:17:15,Male,Yes,Yes
2/3/2025 12:17:42,Male,Yes,No
2/3/2025 12:40:01,Male,Yes,Yes
2/3/2025 12:48:19,Male,Yes,Yes
2/3/2025 13:08:39,Female,Yes,No
2/3/2025 13:08:54,Male,Yes,Yes
2/3/2025 13:09:11,Female,Yes,No
2/3/2025 13:09:22,Male,Yes,No
2/3/2025 13:09:35,Male,No,No
2/3/2025 13:09:38,Male,Yes,Yes
2/3/2025 13:09:44,Male,Yes,Yes
2/3/2025 13:10:38,Male,Yes,No
2/3/2025 13:10:58,Female,Yes,No
2/3/2025 13:11:47,Female,Yes,No
2/3/2025 13:11:59,Male,Yes,No
2/3/2025 13:12:55,Female,Yes,Yes
2/3/2025 13:13:41,Male,Yes,No
2/3/2025 13:16:14,Female,No,Yes
2/3/2025 13:16:28,Female,Yes,No
2/3/2025 13:16:35,Male,Yes,No
